held_out,model,mae_fraction,model_lap_s,dp_lap_s,uniform_lap_s,model_gain_s,dp_gain_s,gain_retained_pct,periodic,soc_end_mj,clip_pct,notes
lusail,always-deploy,0.9426716141001855,91.59727432731364,87.31806172957174,89.83955461809437,-1.7577197092192733,2.52149288852263,-69.70948509195044,False,3.649227339744985e-05,93.13543599257885,"not periodic: ended 2.000 MJ short, so this lap is not repeatable and its time flatters the policy"
marina-bay,gbm,0.13874614594039056,89.81710062941964,89.33043382482076,91.73941132437976,1.9223106949601174,2.4089774995590005,79.79778538039584,False,1.9765351866751124,0.0,"not periodic: ended 0.023 MJ short, so this lap is not repeatable and its time flatters the policy"
marina-bay,gbm_reg,0.17874003822314036,90.09798808104165,89.33043382482076,91.73941132437976,1.6414232433381102,2.4089774995590005,68.13775735300962,False,1.6233284038205873,0.0,"not periodic: ended 0.377 MJ short, so this lap is not repeatable and its time flatters the policy"
marina-bay,linear,0.2962333264086044,93.16554181464008,89.33043382482076,91.73941132437976,-1.42613049026032,2.4089774995590005,-59.20065631669016,False,1.5215149031880766,12.435765673175746,"not periodic: ended 0.478 MJ short, so this lap is not repeatable and its time flatters the policy"
marina-bay,always-deploy,0.9377697841726619,94.03921133675742,89.33043382482076,91.73941132437976,-2.299800012377659,2.4089774995590005,-95.4678909536794,False,0.0,93.73072970195273,"not periodic: ended 2.000 MJ short, so this lap is not repeatable and its time flatters the policy"
melbourne,gbm,0.15634541984732825,81.12043142951676,81.14679180830802,83.43989818762368,2.319466758106927,2.2931063793156596,101.14954888395252,False,1.0095304113382713,0.6679389312977099,"not periodic: ended 0.990 MJ short, so this lap is not repeatable and its time flatters the policy"
melbourne,gbm_reg,0.19162908375993218,81.48321105386141,81.14679180830802,83.43989818762368,1.9566871337622729,2.2931063793156596,85.32910428456505,False,1.1124621343814873,5.438931297709924,"not periodic: ended 0.888 MJ short, so this lap is not repeatable and its time flatters the policy"
melbourne,linear,0.34808220326383243,82.93003225999766,81.14679180830802,83.43989818762368,0.5098659276260236,2.2931063793156596,22.234726318200064,False,0.6788858178096112,5.916030534351145,"not periodic: ended 1.321 MJ short, so this lap is not repeatable and its time flatters the policy"
melbourne,always-deploy,0.9701335877862596,84.88414211260586,81.14679180830802,83.43989818762368,-1.4442439249821746,2.2931063793156596,-62.98198539804271,False,0.0,93.98854961832062,"not periodic: ended 2.000 MJ short, so this lap is not repeatable and its time flatters the policy"
mexico-city,gbm,0.085924617196702,73.2712514912147,72.97883498298289,75.09166648261848,1.82041499140378,2.1128314996355897,86.15997024456308,True,2.464964999952296,0.0,
mexico-city,gbm_reg,0.143990456563466,73.65236430786054,72.97883498298289,75.09166648261848,1.439302174757941,2.1128314996355897,68.12195743040486,True,2.242798243628061,0.0,
mexico-city,linear,0.33945962780446304,78.6867030198718,72.97883498298289,75.09166648261848,-3.5950365372533213,2.1128314996355897,-170.15254353569486,True,2.373762584112341,0.0,
mexico-city,always-deploy,0.8706124852767962,77.06650605656341,72.97883498298289,75.09166648261848,-1.9748395739449336,2.1128314996355897,-93.46886272215951,False,5.947759400456788e-06,94.22850412249706,"not periodic: ended 2.000 MJ short, so this lap is not repeatable and its time flatters the policy"
